source_type,mece_bucket,project,org_or_vendor,open_source,primary_url,stars_snapshot,recent_3m_scope_pass,recent_signal_90d,macos_surface,autonomy_signal,claw_affinity,strict_github_filter_pass,strict_fail_reason,non_github_macos_app_pass,evidence_summary,source_urls,confidence,TODO
github_open_source,claw_native_personal_agent,OpenClaw,openclaw,True,https://github.com/openclaw/openclaw,314k*,True,Release/commits in Mar 2026,macOS app + CLI,"24/7 personal assistant, channels, cron, daemon install",direct_claw,True,,,Personal AI assistant; can speak/listen on macOS; recommended macOS CLI wizard and daemon install; releases mention macOS app/chat UI and onboarding fixes.,https://github.com/openclaw/openclaw | https://github.com/openclaw/openclaw/releases,medium,DONE
github_open_source,claw_native_personal_agent,ZeroClaw,zeroclaw-labs,True,https://github.com/zeroclaw-labs/zeroclaw,27.2k,True,Updated Feb-Mar 2026,CLI / daemon / static binary,Fully autonomous assistant/runtime OS; service install; deploy anywhere,direct_claw,True,,,"Fast, small, fully autonomous AI assistant/runtime OS; macOS prerequisites documented; native static binary and daemon/service install.",https://github.com/zeroclaw-labs/zeroclaw | https://github.com/zeroclaw-labs/zeroclaw/releases,high,DONE
github_open_source,claw_native_personal_agent,Hermes Agent,NousResearch,True,https://github.com/NousResearch/hermes-agent,7.4k,True,Published/active in Mar 2026,CLI / server agent,Self-improving persistent agent; scheduled automations; learns skills,direct_claw,True,,,"Self-improving agent with learning loop, persistent memory, and scheduled automations; quick install supports Linux/macOS/WSL2.",https://github.com/NousResearch/hermes-agent,high,DONE
github_open_source,claw_desktop_wrapper,ClawX,ValueCell-ai,True,https://github.com/ValueCell-ai/ClawX,4.4k,True,Published last month,desktop app,GUI for OpenClaw agents; scheduling and management from desktop,direct_claw,True,,,Desktop app that turns OpenClaw CLI orchestration into a GUI desktop experience; aimed at running and managing agents without terminal.,https://github.com/ValueCell-ai/ClawX | https://github.com/ValueCell-ai/ClawX/releases,medium,DONE
github_open_source,claw_like_desktop_multiagent,AionUi,iOfficeAI,True,https://github.com/iOfficeAI/AionUi,17.9k-19k,True,Updated hours ago / last week,desktop app,Built-in agent engine; automated task execution; works on install,close_claw_alt,True,,,Free open-source Cowork desktop app; ships with complete agent engine; no CLI setup required; positions itself as OpenClaw/Cowork style multi-agent desktop.,https://github.com/iOfficeAI/AionUi | https://github.com/iOfficeAI/AionUi/wiki/Home/Home.md | https://github.com/iOfficeAI/AionUi/releases,high,DONE
github_open_source,claw_like_agent_os,OpenFang,RightNow-AI,True,https://github.com/RightNow-AI/openfang,14.4k-14.5k,True,Published 2 weeks ago,desktop app + daemon + WebChat,Full operating system for autonomous agents,close_claw_alt,True,,,"Open-source Agent Operating System built in Rust; docs include macOS desktop app (.dmg), system tray, auto-updates, notifications, daemon, and agent spawning.",https://github.com/RightNow-AI/openfang | https://github.com/RightNow-AI/openfang/blob/main/docs/getting-started.md,high,DONE
github_open_source,local_general_agent,agenticSeek,Fosowl,True,https://github.com/Fosowl/agenticSeek,25.5k,,Updated Mar 2 2026,local app / likely CLI,"Local voice-enabled agent that browses web, writes code, plans tasks autonomously",close_claw_alt,False,macOS install path not explicit in captured evidence,,"100% local Manus-style assistant; autonomous browsing, coding, planning; strong claw-adjacent local-agent positioning.",https://github.com/Fosowl/agenticSeek,medium,DONE
github_open_source,local_general_agent,OpenManus,FoundationAgents,True,https://github.com/FoundationAgents/OpenManus,,True,Active in Mar 2026,CLI / Python app,General-purpose open agent; multi-agent workflows,close_claw_alt,False,star count not cleanly captured in current evidence,,"Open-source agent platform / Manus replication; installation via conda/uv; run main.py, run_mcp.py, run_flow.py for multi-agent flows.",https://github.com/FoundationAgents/OpenManus,medium,DONE
github_open_source,local_ai_workspace,AnythingLLM,Mintplex-Labs,True,https://github.com/Mintplex-Labs/anything-llm,56.3k,,Latest release Mar 2 2026,desktop app (Mac/Win/Linux),"Workspace agents, agent builder, local/private deployment",supplementary_open_alt,False,autonomous agent criteria weaker than direct agent apps,,"Desktop app for Mac/Windows/Linux; includes no-code AI agent builder, custom AI agents, and agents inside workspace.",https://github.com/Mintplex-Labs/anything-llm | https://github.com/Mintplex-Labs/anything-llm/releases,high,DONE
github_open_source,agent_infra_macos,osaurus,osaurus-ai,True,https://github.com/osaurus-ai/osaurus,4.3k,True,Updated within days,native macOS infra / MCP server,Gives AI agents access to installed tools on macOS,supplementary_open_alt,False,more MCP/tooling infra than standalone auto-agent app,,AI edge infrastructure for macOS; full MCP server that lets AI agents access installed tools.,https://github.com/osaurus-ai/osaurus,medium,DONE
github_open_source,coding_agent_cli_desktop,OpenCode,sst,True,https://github.com/sst/opencode,122k,True,Active in Mar 2026,terminal / TUI / client-server,Open-source coding agent in terminal,close_claw_alt,True,,,Open-source coding agent focused on terminal/TUI with local execution.,https://github.com/sst/opencode,high,DONE
github_open_source,coding_agent_cli_desktop,Gemini CLI,google-gemini,True,https://github.com/google-gemini/gemini-cli,96.6k,True,Updated last week / days,CLI,Open-source AI agent in terminal,close_claw_alt,True,,,Open-source AI agent in terminal; installation docs and active development.,https://github.com/google-gemini/gemini-cli | https://github.com/google-gemini/gemini-cli/blob/main/docs/get-started/installation.md,high,DONE
github_open_source,coding_agent_cli_desktop,OpenHands,All-Hands-AI,True,https://github.com/All-Hands-AI/OpenHands,69.1k,,Latest release Mar 11 2026,local GUI + CLI + SDK,Runs locally; coding agent for software tasks,close_claw_alt,True,,,"Open source platform for software development agents; repo offers SDK, CLI, and Local GUI for running on your own laptop.",https://github.com/All-Hands-AI/OpenHands,high,DONE
github_open_source,coding_agent_cli_desktop,Open Interpreter,OpenInterpreter,True,https://github.com/OpenInterpreter/open-interpreter,62.7k,True,Active in Mar 2026,CLI,Natural-language computer interface with auto-run mode,close_claw_alt,True,,,Runs on your computer from terminal; supports interpreter -y / auto_run for reduced confirmation flows.,https://github.com/OpenInterpreter/open-interpreter,high,DONE
github_open_source,coding_agent_cli_desktop,Goose,block,True,https://github.com/block/goose,33k,True,Active in Mar 2026,desktop app + CLI,Extensible AI agent for desktop and terminal,close_claw_alt,True,,,Open-source AI agent with desktop app and CLI; positioned as extensible coding/workflow agent.,https://github.com/block/goose,high,DONE
