source_type,mece_bucket,project,org_or_vendor,open_source,primary_url,stars_snapshot,recent_3m_scope_pass,recent_signal_90d,macos_surface,autonomy_signal,claw_affinity,strict_github_filter_pass,strict_fail_reason,non_github_macos_app_pass,evidence_summary,source_urls,confidence
non_github_product,non_github_macos_app,Atomic Bot,Atomic Bot,False,https://atomicbot.ai/,,True,Published last month / 4 days ago,macOS app,One-click OpenClaw app; can message first and run recurring tasks,direct_claw_ecosystem,,,True,One-click OpenClaw macOS app; Product Hunt and vendor site say it gets to a running local OpenClaw agent in ~60 seconds; marketed as private/local/open-source.,https://atomicbot.ai/ | https://www.producthunt.com/products/atomic-bot,high
non_github_product,non_github_macos_app,KatClaw,KatClaw,False,https://katclaw.ai/,,True,Published last week / 4 days ago,macOS app,One-click installer and manager for OpenClaw on macOS,direct_claw_ecosystem,,,True,Native Mac app that turns OpenClaw into one-click setup and control surface.,https://katclaw.ai/ | https://www.producthunt.com/products/katclaw-mac-automation-made-easy,high
non_github_product,non_github_macos_app,ClawApp,Sahara AI / ClawApp,False,https://clawapp.saharaai.com/,,True,Published last month / 4 weeks ago,macOS app,Install/manage/run local OpenClaw agents without configuration,direct_claw_ecosystem,,,True,macOS desktop app for OpenClaw bots; guided install and local agent management.,https://clawapp.saharaai.com/ | https://www.producthunt.com/products/clawapp,high
non_github_product,non_github_macos_app,Codex app for macOS,OpenAI,False,https://openai.com/index/introducing-the-codex-app/,,True,Published last month,macOS app,Command center for multiple coding agents and long-running tasks,close_claw_alt,,,True,Native macOS app for multi-agent coding workflows and long-running tasks.,https://openai.com/index/introducing-the-codex-app/ | https://techcrunch.com/2026/02/02/openai-launches-new-macos-app-for-agentic-coding/,high
non_github_product,non_github_macos_app,Qclaw,Tencent,False,https://qclaw.qq.com/,,True,official page published 2 days ago,macOS app,Auto deploy + WeChat/QQ remote control + Skills ecosystem,direct_claw_brand,False,non-GitHub product,True,"Tencent desktop agent with macOS download, automatic deployment, WeChat/QQ remote control, model switching, and skills ecosystem.",https://qclaw.qq.com/ | https://qclawd.com/,High
non_github_product,non_github_macos_app,AutoClaw,Zhipu / AutoGLM,False,https://autoclaws.org/zh/,,True,official page published 3 days ago; IT之家 report 5 days ago,macOS app,"One-click local OpenClaw installer with 50+ skills, model hot-swap, Feishu integration",direct_claw_brand,False,non-GitHub product,True,Zhipu one-click local OpenClaw desktop app for macOS/Windows; preloads 50+ skills and browser automation.,https://autoclaws.org/zh/ | https://autoglm.zhipuai.cn/autoclaw/,High
non_github_product,non_github_macos_app,EasyClaw App,DOCUAGILE,False,https://easyclaw.com/zh-cn/,,True,official page published 3 days ago,macOS app,Zero-config desktop AI agent with local sandbox and mobile/IM control,openclaw_ecosystem,False,non-GitHub product,True,OpenClaw-based desktop app for Mac/Windows with sandboxed local execution and no-terminal setup.,https://easyclaw.com/zh-cn/ | https://easyclaw.cn/,High
non_github_product,non_github_macos_app,OneClaw App,OneClaw,False,https://oneclaw.cn/,,True,official page published 4 days ago,macOS app,One-click OpenClaw installer for browser/file/report automation,openclaw_ecosystem,False,non-GitHub product,True,One-click OpenClaw installer; official site provides macOS and Windows downloads.,https://oneclaw.cn/,Medium
non_github_product,non_github_macos_app,Molili,Molili,False,https://www.molili.com.cn/,,True,official site crawled 2 days ago,macOS app,"Chinese local-first agent with remote computer control, scheduled tasks and WeChat-like simplicity",openclaw_ecosystem,False,non-GitHub product,True,"Chinese desktop AI agent with Mac/Windows installers, local storage claims, remote computer operation, task scheduling, and app automation.",https://www.molili.com.cn/,High
non_github_product,non_github_macos_app,OpenClaw macOS Companion App,OpenClaw community / MoltCN,False,https://www.moltcn.com/platforms/macos.html,,True,page published last week,macOS menu-bar companion app,"Local gateway proxy, permission manager, macOS node exposure for agent",openclaw_ecosystem,False,non-GitHub product/community page,True,"macOS menu-bar companion app for OpenClaw; manages permissions, local gateway, notifications, and macOS node exposure.",https://www.moltcn.com/platforms/macos.html,Medium
