序号,项目名称,GitHub仓库,Stars数,编程语言,许可证,分类,子分类,项目描述,macOS支持,Agent类型,是否开源,信息来源
1,OpenClaw,openclaw/openclaw,"~280,000",TypeScript,MIT,A-Claw核心,原始项目,原始全功能AI助手，13729+技能，多agent路由，语音唤醒，15+消息频道,是(CLI/Docker),自主运行Agent,是,GitHub #1 starred repo
2,NanoClaw,qwibitai/nanoclaw,"~21,500",TypeScript,MIT,A-Claw核心,安全优先,轻量级容器沙箱助手，700 LOC核心，Docker隔离，审计日志,是(Docker/CLI),自主运行Agent,是,Forbes/awesome-claws
3,ZeroClaw,zeroclaw-labs/zeroclaw,"~26,200",Rust,MIT,A-Claw核心,性能优先,零开销AI基础设施，3.4MB二进制，<5MB RAM，<10ms启动,是(单二进制),自主运行Agent,是,awesome-claws
4,Nanobot,HKUDS/nanobot,"~26,800",Python,MIT,A-Claw核心,学术/研究,超轻量级OpenClaw风格助手，4K LOC，MCP支持，agent社交网络,是(pip),自主运行Agent,是,知乎/awesome-claws
5,PicoClaw,sipeed/picoclaw,"~13,300",Go,MIT,A-Claw核心,嵌入式,低成本硬件超高效助手，单二进制部署，支持旧Android,是(单二进制),自主运行Agent,是,awesome-claws
6,Moltis,moltis-org/moltis,"~2,000",Rust,MIT,A-Claw核心,企业级,个人AI网关，150K LOC，多LLM支持，长期记忆，语音，MCP,是(单二进制),自主运行Agent,是,awesome-claws
7,IronClaw,nearai/ironclaw,"~3,500",Rust,MIT,A-Claw核心,安全优先,隐私安全优先，WASM沙箱，密码学验证，本地加密数据,是(CLI),自主运行Agent,是,Product Hunt/awesome-claws
8,TinyClaw,tinyclaw/tinyclaw,"~1,800",Shell/TypeScript,MIT,A-Claw核心,多agent,多agent多团队多频道助手，链式执行和扇出,是(CLI),自主运行Agent,是,awesome-claws
9,ZeptoClaw,zeptoclaw/zeptoclaw,"~1,500",Rust,MIT,A-Claw核心,安全优先,~4MB二进制，7层安全，容器隔离，提示注入检测,是(单二进制),自主运行Agent,是,awesome-claws
10,BabyClaw,babyclaw/babyclaw,"~1,200",JavaScript,MIT,A-Claw核心,极简,单文件Claude Agent SDK替代，Telegram控制，语音消息,是(Node.js),自主运行Agent,是,awesome-claws
11,HermitClaw,hermitclaw/hermitclaw,"~1,100",Python,MIT,A-Claw核心,研究自动化,自主AI研究生物，持续研究并生成报告/脚本/笔记,是(pip),自主运行Agent,是,awesome-claws
12,Clawlet,clawlet/clawlet,"~1,000",Python,MIT,A-Claw核心,极简,轻量级身份感知agent框架，2分钟启动,是(pip),自主运行Agent,是,awesome-claws
13,OpenFang,RightNow-AI/openfang,"~2,500",Rust,MIT,A-Claw核心,Agent OS,Agent OS，137K LOC，14 crates，1767+测试，24/7自主运行,是(CLI),自主运行Agent,是,awesome-claws/GitHub
14,Flowly AI,flowly-ai/flowly,"~1,200",TypeScript,MIT,A-Claw核心,工作流,流程导向AI助手框架，工具驱动任务执行,是(CLI),自主运行Agent,是,awesome-claws
15,shrew,shrew-ai/shrew,"~1,100",Rust,MIT,A-Claw核心,性能优先,紧凑自主助手运行时，速度和最小资源使用,是(单二进制),自主运行Agent,是,awesome-claws
16,moxxy,moxxy/moxxy,"~1,000",Rust,MIT,A-Claw核心,多agent,自托管多agent AI框架,是(CLI),自主运行Agent,是,awesome-claws
17,troublemaker,troublemaker-ai/troublemaker,"~1,100",TypeScript,MIT,A-Claw核心,多平台,多平台AI agent运行时,是(CLI),自主运行Agent,是,awesome-claws
18,LettaBot,lettabot/lettabot,"~1,000",TypeScript,MIT,A-Claw核心,记忆,持久记忆个人AI助手，跨Telegram/Slack/WhatsApp/Signal,是(CLI),自主运行Agent,是,awesome-claws
19,Autobot,autobot-ai/autobot,"~1,000",Crystal,MIT,A-Claw核心,安全优先,内核强制沙箱，多LLM，语音，视觉，cron，MCP,是(CLI),自主运行Agent,是,awesome-claws
20,SupaClaw,supaclaw/supaclaw,"~1,000",TypeScript,MIT,A-Claw核心,Supabase,完全基于Supabase内置功能构建,是(CLI),自主运行Agent,是,awesome-claws
21,AngelClaw,angelclaw/angelclaw,"~1,000",Python,MIT,A-Claw核心,研究,研究概念实现的OpenClaw变体,是(pip),自主运行Agent,是,awesome-claws
22,Microclaw,microclaw/microclaw,"~1,000",Rust,MIT,A-Claw核心,聊天,聊天表面agentic AI助手，14+平台适配器,是(CLI),自主运行Agent,是,awesome-claws
23,safeclaw,safeclaw/safeclaw,"~1,000",Python,MIT,A-Claw核心,安全,安全文本和语音交互，不依赖LLM,是(pip),自主运行Agent,是,awesome-claws
